리뷰 No.,제품 ID,제품명,닉네임,피부 타입,피부 고민,작성 시간,별점 (0/5),리뷰 내용,태그,평균 별점 (제품별),사진1(선택),사진1(선택),사진3(선택)
1,1,세라마이드 모찌 토너,활발한병아리736,건성,"보습, 민감성",2026.03.19,5,촉촉해서 만족스러워요. 피부 결이 매끈해지는 느낌이에요. 가격도 합리적이라 좋았어요.,"촉촉함, 매끈한 피부결",4.6,https://drive.google.com/file/d/1vpXYtZtwmFNsjNh9z2eXQrcbgDqzHAAo/view?usp=sharing,https://drive.google.com/file/d/1rLSSL3E9r5Uj_mji-CX6ofhIfZpk1qsZ/view?usp=sharing,
2,1,세라마이드 모찌 토너,조용한호랑이293,건성,보습,2025.11.23,4,'세라마이드 모찌 토너' 사용 후기예요. 겉돌지 않고 잘 스며들어요. 촉촉해서 만족스러워요.,"수분감, 촉촉함, 겉돌지 않음, 매끈한 피부결",4.6,,,
3,1,세라마이드 모찌 토너,엉뚱한강아지193,건성,보습,2026.01.29,5,'세라마이드 모찌 토너' 사용 후기예요. 겉돌지 않고 잘 스며들어요. 재구매 의사 있어요!,"겉돌지 않음, 쫀쫀함",4.6,,,
4,1,세라마이드 모찌 토너,소심한펭귄73,복합성,"보습, 민감성, 미백/잡티",2026.08.01,5,피부 결이 매끈해지는 느낌이에요. 다음에도 또 살 것 같아요.,"매끈한 피부결, 촉촉함, 쫀쫀함, 겉돌지 않음",4.6,,,
5,1,세라마이드 모찌 토너,대담한고양이534,복합성,민감성,2026.07.06,5,겉돌지 않고 잘 스며들어요. 재구매 의사 있어요!,"매끈한 피부결, 겉돌지 않음, 수분감, 촉촉함, 쫀쫀함",4.6,,,
6,1,세라마이드 모찌 토너,익명의하마936,복합성,민감성,2026.03.23,4,수분감이 오래가서 좋아요.,"쫀쫀함, 매끈한 피부결, 수분감, 촉촉함, 겉돌지 않음",4.6,,,
7,1,세라마이드 모찌 토너,사랑스런강아지622,건성,"민감성, 보습",2025.07.01,5,수분감이 오래가서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 피부 결이 매끈해지는 느낌이에요.,"수분감, 쫀쫀함, 겉돌지 않음, 매끈한 피부결",4.6,https://drive.google.com/file/d/1Xyf2vNSOeLWT04ZDlfRcm2CxKYIuK7NU/view?usp=sharing,,
8,1,세라마이드 모찌 토너,평범한코알라626,건성,보습,2026.07.17,4,'세라마이드 모찌 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 재구매 의사 있어요!,"쫀쫀함, 매끈한 피부결, 촉촉함, 수분감, 겉돌지 않음",4.6,,,
9,1,세라마이드 모찌 토너,엉뚱한호랑이437,건성,"민감성, 보습",2025.11.07,5,쫀쫀한 텍스처가 마음에 들어요. 겉돌지 않고 잘 스며들어요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"쫀쫀함, 수분감, 겉돌지 않음, 매끈한 피부결",4.6,,,
10,1,세라마이드 모찌 토너,촉촉한펭귄838,건성,민감성,2025.08.23,4,겉돌지 않고 잘 스며들어요. 재구매 의사 있어요!,"매끈한 피부결, 쫀쫀함, 겉돌지 않음, 수분감, 촉촉함",4.6,,,
11,1,세라마이드 모찌 토너,잠많은사자224,건성,"민감성, 보습",2025.09.09,4,촉촉해서 만족스러워요. 쫀쫀한 텍스처가 마음에 들어요. 만족스러운 소비였어요.,"촉촉함, 쫀쫀함",4.6,,,
12,1,세라마이드 모찌 토너,익명의거북이198,복합성,민감성,2025.10.22,4,'세라마이드 모찌 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 수분감이 오래가서 좋아요. 피부 결이 매끈해지는 느낌이에요. 재구매 의사 있어요!,"매끈한 피부결, 수분감, 쫀쫀함",4.6,,,
13,1,세라마이드 모찌 토너,대담한여우45,복합성,없음,2025.12.02,4,'세라마이드 모찌 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 수분감이 오래가서 좋아요. 촉촉해서 만족스러워요. 가격도 합리적이라 좋았어요.,"촉촉함, 겉돌지 않음, 쫀쫀함, 수분감",4.6,,,
14,1,세라마이드 모찌 토너,새침한고슴도치959,복합성,"민감성, 보습",2025.08.03,5,'세라마이드 모찌 토너' 사용 후기예요. 피부 결이 매끈해지는 느낌이에요. 수분감이 오래가서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 만족스러운 소비였어요.,"수분감, 매끈한 피부결, 쫀쫀함, 촉촉함",4.6,,,
15,1,세라마이드 모찌 토너,행복한앵무새282,복합성,보습,2026.05.13,5,촉촉해서 만족스러워요. 겉돌지 않고 잘 스며들어요. 쫀쫀한 텍스처가 마음에 들어요. 만족스러운 소비였어요.,"촉촉함, 매끈한 피부결, 겉돌지 않음, 쫀쫀함",4.6,,,
16,1,세라마이드 모찌 토너,대담한해달851,건성,보습,2025.09.17,5,수분감이 오래가서 좋아요. 만족스러운 소비였어요.,"매끈한 피부결, 수분감, 촉촉함",4.6,https://drive.google.com/file/d/12k93s9vJTX-DNXLO8K94u38nEEghhUaX/view?usp=sharing,https://drive.google.com/file/d/1z_4ZbSKzG2bcUJ2fUcCGomYka9VTsprz/view?usp=sharing,
17,1,세라마이드 모찌 토너,귀여운벌새706,복합성,보습,2025.09.02,5,'세라마이드 모찌 토너' 사용 후기예요. 피부 결이 매끈해지는 느낌이에요. 만족스러운 소비였어요.,"수분감, 매끈한 피부결",4.6,,,
18,1,세라마이드 모찌 토너,사랑스런곰돌이455,건성,"보습, 민감성",2025.10.19,5,'세라마이드 모찌 토너' 사용 후기예요. 촉촉해서 만족스러워요. 수분감이 오래가서 좋아요. 다음에도 또 살 것 같아요.,"쫀쫀함, 겉돌지 않음, 수분감, 촉촉함",4.6,,,
19,1,세라마이드 모찌 토너,사랑스런나비116,복합성,"보습, 민감성",2025.09.21,4,'세라마이드 모찌 토너' 사용 후기예요. 촉촉해서 만족스러워요. 만족스러운 소비였어요.,"매끈한 피부결, 쫀쫀함, 촉촉함, 수분감",4.6,,,
20,1,세라마이드 모찌 토너,말랑한곰돌이520,복합성,"민감성, 보습",2025.09.06,5,'세라마이드 모찌 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 겉돌지 않고 잘 스며들어요. 재구매 의사 있어요!,"겉돌지 않음, 매끈한 피부결, 촉촉함, 수분감, 쫀쫀함",4.6,,,
21,2,아쿠아 오아시스 토너,엉뚱발랄한하마386,지성,민감성,2026.08.27,5,가볍게 발려요. 재구매 의사 있어요!,"가벼움, 산뜻함",4.5,,,
22,2,아쿠아 오아시스 토너,상냥한기린37,지성,"보습, 민감성, 피지/블랙헤드",2025.06.09,4,발림성이 정말 좋아요. 끈적임이 적어서 좋아요. 만족스러운 소비였어요.,"끈적임 적음, 발림성",4.5,,,
23,2,아쿠아 오아시스 토너,상냥한물개222,지성,보습,2026.06.08,4,발림성이 정말 좋아요. 산뜻하게 발려서 좋아요.,"수분감, 발림성, 가벼움, 산뜻함",4.5,https://drive.google.com/file/d/1zq3P8qSp08KUqH6fO43gyB7iQJ92euyj/view?usp=sharing,https://drive.google.com/file/d/1bocHCItpJLBX1ahcps1WYzqFz_wvlbZk/view?usp=sharing,
24,2,아쿠아 오아시스 토너,상큼한여우151,수부지,민감성,2026.01.04,5,'아쿠아 오아시스 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 산뜻하게 발려서 좋아요. 발림성이 정말 좋아요. 다음에도 또 살 것 같아요.,"수분감, 발림성, 산뜻함",4.5,,,
25,2,아쿠아 오아시스 토너,행복한고양이781,수부지,"민감성, 보습",2026.05.03,4,'아쿠아 오아시스 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"발림성, 끈적임 적음, 산뜻함, 수분감",4.5,,,
26,2,아쿠아 오아시스 토너,부드러운앵무새380,지성,"보습, 민감성",2026.07.25,5,수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 끈적임 적음, 산뜻함, 발림성",4.5,,,
27,2,아쿠아 오아시스 토너,잠많은두더지242,수부지,"보습, 민감성",2026.03.05,4,'아쿠아 오아시스 토너' 사용 후기예요. 가볍게 발려요. 산뜻하게 발려서 좋아요. 재구매 의사 있어요!,"발림성, 산뜻함, 수분감, 가벼움",4.5,,,
28,2,아쿠아 오아시스 토너,든든한다람쥐153,지성,민감성,2025.07.29,5,'아쿠아 오아시스 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 만족스러운 소비였어요.,"수분감, 가벼움",4.5,https://drive.google.com/file/d/1-OQR2okAbv1t8GBBknKTTsagR3NRAboC/view?usp=sharing,,
29,2,아쿠아 오아시스 토너,평범한물개494,지성,보습,2025.11.04,5,'아쿠아 오아시스 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"끈적임 적음, 발림성, 가벼움, 수분감",4.5,,,
30,2,아쿠아 오아시스 토너,평범한수달476,수부지,보습,2025.02.17,4,'아쿠아 오아시스 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"산뜻함, 끈적임 적음",4.5,,,
31,3,다이브인 저분자 히알루론산 토너,게으른펭귄880,복합성,보습,2025.12.19,3,발림성이 정말 좋아요. 산뜻하게 발려서 좋아요. 끈적임이 적어서 좋아요. 그냥 무난하게 쓰고 있어요.,"발림성, 산뜻함, 끈적임 적음",4.47,,,
32,3,다이브인 저분자 히알루론산 토너,산뜻한수달81,복합성,보습,2026.04.15,4,가볍게 발려요. 발림성이 정말 좋아요. 산뜻하게 발려서 좋아요. 재구매는 고민중이에요.,"산뜻함, 끈적임 적음, 발림성, 가벼움",4.47,https://drive.google.com/file/d/1D19g1HslvCuhVFBQiR26SLcCWr6YRm-_/view?usp=sharing,,
33,3,다이브인 저분자 히알루론산 토너,부드러운펭귄110,복합성,보습,2025.04.27,5,'다이브인 저분자 히알루론산 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 가볍게 발려요. 만족스러운 소비였어요.,"수분감, 가벼움",4.47,,,
34,3,다이브인 저분자 히알루론산 토너,든든한고슴도치387,복합성,보습,2025.08.30,5,'다이브인 저분자 히알루론산 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 산뜻함, 가벼움, 끈적임 적음",4.47,,,
35,3,다이브인 저분자 히알루론산 토너,명랑한다람쥐182,수부지,보습,2025.01.06,5,수분감이 오래가서 좋아요. 발림성이 정말 좋아요. 가볍게 발려요.,"발림성, 수분감, 가벼움",4.47,,,
36,3,다이브인 저분자 히알루론산 토너,산뜻한부엉이722,수부지,보습,2025.01.27,4,발림성이 정말 좋아요. 가격도 합리적이라 좋았어요.,"산뜻함, 끈적임 적음, 발림성, 가벼움",4.47,,,
37,3,다이브인 저분자 히알루론산 토너,자유로운하마114,수부지,"보습, 미백/잡티",2025.03.08,5,발림성이 정말 좋아요. 가볍게 발려요.,"가벼움, 발림성, 산뜻함",4.47,,,
38,3,다이브인 저분자 히알루론산 토너,배부른오리447,수부지,보습,2026.07.27,4,'다이브인 저분자 히알루론산 토너' 사용 후기예요. 가볍게 발려요. 끈적임이 적어서 좋아요. 만족스러운 소비였어요.,"가벼움, 끈적임 적음",4.47,,,
