제품 ID,제품명,가격(원),브랜드명,제품 카테고리,용량,나이대 추천순,피부 타입 적합도,주의 타입,피부 고민,사용감 태그,제품 특징 태그,전성분,주요 성분,출처,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,원더 세라마이드 모찌 토너,"15,300",토니모리,토너,500,"30대(100), 40대 이상(75), 20대(50), 10대(25)","건성(적극 추천), 복합성(추천), 중성(추천), 수부지(조건부 추천), 지성(주의)","지성(3), 수부지(1)",보습(3),"촉촉함, 쫀쫀함, 수분감, 매끈한 피부결, 발림성, 겉돌지 않음","파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 합성색소 무첨가, 대용량, 데일리 케어, 겨울용","정제수, 다이프로필렌글라이콜, 글리세린, 펜타에리스리틸테트라아이소스테아레이트, 프로판다이올, 폴리글리세린-3, 마카다미아씨오일, 하이드록시아세토페논, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리데센, 에틸헥실글리세린, 알란토인, 스타이렌/브이피코폴리머, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, *리모넨, 소듐파이테이트, *리날룰, 폴리솔베이트60, 솔비탄아이소스테아레이트, 라반딘오일, 센티드제라늄꽃오일, 멕시칸주니퍼오일, 아이소펜틸다이올, 라벤더오일, 부틸렌글라이콜, 병풀추출물, 레몬껍질오일, 폴리글리세릴-4올리에이트, 세라마이드엔피(5,000 ppb), 수크로오스팔미테이트, 1,2-헥산다이올","세라마이드엔피, 판테놀, 알란토인, 병풀추출물, 마카다미아씨오일",https://tonymoly.com/products/wonder-ceramide-mochi-toner.do?i_sProductcd=TM20250324000150898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,아쿠아 오아시스 토너,"18,500",에스네이처,토너,300,"20대(100), 10대(75), 30대(50), 40대 이상(25)","수부지(적극 추천), 지성(추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(2),"보습(3), 피지/블랙헤드(2)","가벼움, 발림성, 끈적임 적음, 산뜻함, 수분감, 빠른 흡수","파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 합성색소 무첨가, 대용량, 데일리 케어, 메이크업 전 사용","정제수, 다이프로필렌글라이콜, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 베타인, 판테놀, 알란토인, 파파야열매추출물, 글루코노락톤, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 소듐하이알루로네이트, 글루코오스, 파파인, 하이드록시프로필트라이모늄하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머","복합 히알루론산, 판테놀, 베타인, 알란토인, 글루코노락톤, 파파인",https://snature.kr/product/아쿠아-오아시스-토너-300ml/79/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,다이브인 저분자 히알루론산 토너,"25,000",토리든,토너,300,"20대(100), 30대(75), 10대(50), 40대 이상(25)","건성(적극 추천), 수부지(적극 추천), 중성(추천), 복합성(추천), 지성(추천)","건성(1), 수부지(1)","보습(3), 민감성(2)","가벼움, 끈적임 적음, 산뜻함, 발림성, 수분감, 빠른 흡수","파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 합성색소 무첨가, 대용량, 데일리 케어, 메이크업 전 사용","정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(200ppm), 엑토인, 감초추출물, 2,3-부탄다이올, 쇠비름추출물, 트레할로오스, 알지닌, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린","복합 히알루론산, 판테놀, 베타인, 알란토인, 엑토인, 감초추출물",https://www.torriden.com/goods/goods_view.php?goodsNo=90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1025 독도 토너,"27,000",라운드랩,토너,500,"10대(100), 20대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 건성(조건부 추천)",건성(2),"보습(2), 민감성(1)","발림성, 산뜻함, 매끈한 피부결, 가벼움, 빠른 흡수, 끈적임 적음, 수분감","향료 무첨가, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 합성색소 무첨가, 대용량, 데일리 케어","정제수, 부틸렌글라이콜, 글리세린, 펜틸렌글라이콜, 프로판다이올, 아이리쉬모스추출물, 사탕수수추출물, 해수, 1,2-헥산다이올, 프로테아제, 베타인, 판테놀, 에틸헥실글리세린, 알란토인, 잔탄검, 다이소듐이디티에이","아이리쉬모스추출물, 해수, 프로테아제, 판테놀, 베타인, 알란토인",https://roundlab.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,초저분자 히아루론산 토너,"15,900",이즈앤트리,토너,300,"20대(100), 30대(75), 10대(50), 40대 이상(25)","수부지(적극 추천), 지성(추천), 복합성(추천), 중성(추천), 건성(조건부 추천)","건성(2), 수부지(1)",보습(3),"빠른 흡수, 수분감, 가벼움, 끈적임 적음, 산뜻함","인공향 무첨가, 합성색소 무첨가, 파라벤 무첨가, 에탄올 무첨가, 대용량, 데일리 케어, 메이크업 전 사용","정제수, 메틸프로판다이올, 1,2-헥산다이올, 해수, 글리세린, 베타인, 알란토인, 부틸렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린, 판테놀, 잔탄검, 말라카이트추출물, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 펜틸렌글라이콜, 자일리틸글루코사이드, 안하이드로자일리톨, 소듐하이알루로네이트, 자일리톨, 포타슘하이알루로네이트, 글루코오스, 다이메틸실란올하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드칼슘하이알루로네이트, 하이알루로닉애씨드, 버지니아풍년화추출물, 소듐설페이티드하이알루로네이트, 편백잎추출물, 소듐스테아로일하이알루로네이트, 소듐올레오일하이알루로네이트","복합 히알루론산, 판테놀, 베타인, 알란토인",https://isntree.com/product/초저분자-히아루론산-토너-300ml/56/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,피치마이크로바이옴 78 피디알엔 토너,"22,400",라보레브,토너,125,"30대(100), 20대(75), 40대 이상(50), 10대(25)","수부지(적극 추천), 건성(추천), 중성(추천), 복합성(추천), 지성(조건부 추천)",지성(1),"보습(2), 미백/잡티(2)","수분감, 빠른 흡수, 끈적임 적음, 쫀쫀함, 촉촉함","미백, 데일리 케어, 메이크업 전 사용","락토바실러스발효용해물(78%), 글리세레스-26, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 판테놀, 마이크로크리스탈린셀룰로오스, 베타인, 소듐시트레이트, 폴리글리세릴-10라우레이트, 디우탄검, 알란토인, 복숭아 추출물(20ppm), 에틸헥실글리세린, 다이프로필렌글라이콜, 폴리글리세릴-4라우레이트, 정제수, 시트릭애씨드, 트라이소듐에틸렌다이아민다이석시네이트, 향료, 하이드롤라이즈드디엔에이(11ppm)","락토바실러스발효용해물 78%, 나이아신아마이드, 판테놀, 베타인, 알란토인, 하이드롤라이즈드디엔에이 11ppm",https://hempharma.bio/en/board/board.php?bo_table=media&idx=106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,무알콜 뮤신 에센스 토너,"11,900",비그린,토너,150,"30대(100), 20대(75), 40대 이상(50), 10대(25)","건성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 지성(조건부 추천)",지성(1),"보습(2), 민감성(2)","수분감, 빠른 흡수, 끈적임 적음, 쫀쫀함, 촉촉함, 무향","인공향 무첨가, 합성색소 무첨가, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 데일리 케어","정제수, 부틸렌글라이콜, 글리세린, 판테놀, 1,2-헥산다이올, 와일드얌뿌리추출물, 카보머, 알지닌, 병풀잎수, 펜틸렌글라이콜, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 에틸헥실글리세린, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트","와일드얌뿌리추출물, 복합 히알루론산, 판테놀, 병풀잎수",https://m.vegreen.co.kr/product/무알콜-뮤신-에센스-토너-150ml/11/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,어성초 77 히알루론산 수분 진정 토너,"20,000",아누아,토너,250,"20대(100), 10대(75), 30대(50), 40대 이상(25)","지성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(조건부 추천), 건성(조건부 추천)","건성(1), 중성(1)","보습(2), 여드름(3), 피지/블랙헤드(2), 민감성(3)","수분감, 빠른 흡수, 가벼움, 끈적임 적음, 산뜻함","합성색소 무첨가, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 대용량, 데일리 케어, 메이크업 전 사용","약모밀꽃/잎/줄기수, 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트, 약모밀소포, 하이드롤라이즈드소듐하이알루로네이트, 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트, 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트","어성초수, 복합 히알루론산, 판테놀, 알란토인, 다이포타슘글리시리제이트, 징크피씨에이",https://m.anua.kr/category/토너-패드/88/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,올리고 히알루론산 딥 토너,"15,100",더랩바이블랑두,토너,200,"20대(100), 30대(75), 10대(50), 40대 이상(25)","건성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 지성(조건부 추천)",지성(1),"보습(3), 민감성(2)","수분감, 빠른 흡수, 가벼움, 끈적임 적음, 촉촉함","인공향 무첨가, 합성색소 무첨가, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 피부 자극 테스트 완료, 데일리 케어","정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트, 판테놀, 솔비톨, 아세틸글루코사민, 글루쿠로닉애씨드, 알란토인, 토코페롤, 에틸헥실글리세린, 다이소듐이디티에이","저분자 히알루론산, 베타글루칸, 판테놀, 베타인, 알란토인",https://blancdoux.com/product/올리고-히알루론산-딥-토너-200ml/169/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,판테놀 베리어 토너,"28,000",코스노리,토너,205,"30대(100), 40대 이상(75), 20대(50), 10대(25)","건성(적극 추천), 수부지(적극 추천), 복합성(추천), 중성(추천), 지성(조건부 추천)",지성(2),"보습(3), 미백/잡티(2), 탄력/주름(2)","수분감, 빠른 흡수, 가벼움, 끈적임 적음, 쫀쫀함, 촉촉함","미백, 주름개선, 파라벤 무첨가, 실리콘 무첨가, 에탄올 무첨가, 데일리 케어, 메이크업 전 사용","정제수, 부틸렌글라이콜, 판테놀, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 1,2-헥산다이올, 카카두플럼추출물, 병풀추출물, 아시아티코사이드, 마데카소사이드, 세라마이드엔피, 얼룩파인애플추출물, 파파야열매추출물, 귀리가루추출물, 락토바실러스/콩발효추출물, 락토바실러스/쌀발효물, 락토바실러스/인삼뿌리발효여과물, 효모/율무씨발효여과물, 효모/감자추출물발효여과물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 동백나무씨오일, 아시아틱애씨드, 마데카식애씨드, 리놀레익애씨드, 락토바이오닉애씨드, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드로제네이티드레시틴, 프로판다이올, 소듐시트레이트, 베타인, 글리세린, 시트릭애씨드, 소듐폴리아크릴로일다이메틸타우레이트, 하이드록시프로필트라이모늄하이알루로네이트, 아데노신, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린","판테놀 50,000ppm, 나이아신아마이드, 병풀 유효성분, 세라마이드엔피, 복합 히알루론산, 아데노신",https://graceclub.com/article/news/1/3049/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
